trait,use_in_outlier_filter
trait,use_in_outlier_filter
C101_A1B,TRUE
C101_C,TRUE
C102_A1B,TRUE
C102_C,TRUE
C103_A,TRUE
C103_A1B,TRUE
C103_C,TRUE
C104_A,TRUE
C104_A1B,TRUE
C104_C,TRUE
C105_A1B,FALSE
C105_C,FALSE
C106_A1B,FALSE
C106_C,FALSE
C107_A1B,TRUE
C107_C,TRUE
C108_A1B,
C108_C,
C109_A1B,
C109_C,
C11-1_A,
C11-1_A1B,
C11-1_C,
C11-2_A1B,TRUE
C11-2_C,TRUE
C110_A1B,
C110_C,
C111_A1B,
C111_C,
C112_A1B,
C112_C,
C113_A1B,FALSE
C113_C,FALSE
C114_A1B,
C114_C,
C115_A,
C115_A1B,
C115_C,
C116_A1B,
C116_C,
C117_A1B,
C117_C,
C118_A1B,
C118_C,
C12-1_A,
C12-1_A1B,
C12-1_C,
C12-2_A1B,
C12-2_C,
C126_A,
C126_A1B,
C126_C,
C128_A1B,
C128_C,
C13_A,
C13_A1B,
C13_C,
D102_A,
D103_C,
D104_A1B,
D105_A,
D106_C,
D107_A1B,
D108_C,
D109_C,
D110_A1B,
D112_C,
D113_C,
D114_A1B,
D116_C,
D117_A,
D117_C,
D118_A1B,
D119_C,
D121_C,
D123_C,
D125_C,
D126_A1B,
D127_A,
D128_C,
D129_A1B,
D130_C,
D131_C,
D132_A1B,
D134_C,
D135_A,
D135_C,
D136_A1B,
D137_C,
D139_C,
D14-1_A,
D14-1_C,
D14-2_C,
D14-3_A1B,
D14-3_C,
D141_C,
D142_A1B,
D143_C,
D144_C,
D145_C,
D146_C,
D147_A,
D147_C,
D148_A,
D148_C,
D15-1_A,
D15-1_C,
D15-2_C,
D15-3_A1B,
D15-3_C,
D151_C,
D152_C,
D153_C,
D154_A,FALSE
D154_A1B,FALSE
D154_C,FALSE
D155_A,FALSE
D155_A1B,FALSE
D155_C,FALSE
D156_C,FALSE
D157_C,FALSE
D158_C,FALSE
D159_C,FALSE
D16-1_A,FALSE
D16-1_C,FALSE
D16-2_C,FALSE
D16-3_A1B,FALSE
D16-3_C,FALSE
D162_C,FALSE
D163_C,FALSE
D166_C,FALSE
D167_C,FALSE
D169_A1B,FALSE
D169_C,FALSE
D17-1_A,
D17-1_C,
D17-2_C,
D17-3_A1B,
D170_A1B,FALSE
D170_C,FALSE
D173_A,
D173_C,
D174_C,
D175_A1B,
