parameter_name	description	category	targeted_group
ACV101_A1B	Actin region ratio on nucleus A1B	actin	A1 & B (Nucleus)
ACV102_A1B	Actin region ratio in bud	actin	A1 & B (Nucleus)
ACV103_A1B	Relative Distance of actin patch center from neck in mother cell on nucleus A1B	actin	A1 & B (Nucleus)
ACV104_A1B	Relative Distance of actin patch center from neck in bud on nucleus A1B	actin	A1 & B (Nucleus)
ACV120_A1B	Total length of actin patch link on nucleus A1B	actin	A1 & B (Nucleus)
ACV121_A1B	Maximam actin patch length on nucleus A1B	actin	A1 & B (Nucleus)
ACV122_A1B	Number of actin patches on nucleus A1B	actin	A1 & B (Nucleus)
ACV123_A1B	Ratio of actin patch region to actin region on nucleus A1B	actin	A1 & B (Nucleus)
DCV14-3_A1B	Area of nucleus region in nucleus A1B	nucleus	A1 & B (Nucleus)
DCV15-3_A1B	Sum of brightness in nucleus region in nucleus A1B	nucleus	A1 & B (Nucleus)
DCV16-3_A1B	Maximum brightness of nuclei	nucleus	A1 & B (Nucleus)
DCV17-3_A1B	Fitness to ellipse of the nucleus	nucleus	A1 & B (Nucleus)
DCV104_A1B	Distance from nuclear center to mothre tip in nucleus A1B	nucleus	A1 & B (Nucleus)
DCV107_A1B	Ratio of D104 to C103 in nucleus A1B	nucleus	A1 & B (Nucleus)
DCV110_A1B	Distance from neck to nucleus center in nucleus A1B	nucleus	A1 & B (Nucleus)
DCV114_A1B	Ratio_of_D110_to_C128_on_stage_A1B	nucleus	A1 & B (Nucleus)
DCV118_A1B	Distance from mother cell's center to nucleus center in A1B	nucleus	A1 & B (Nucleus)
DCV126_A1B	Distance_between_nuclear_gravity_center_and_mother_hip	nucleus	A1 & B (Nucleus)
DCV129_A1B	Distance_between_nuclear_brightest_point_and_mother_tip	nucleus	A1 & B (Nucleus)
DCV132_A1B	Distance_between_nuclear_brightest_point_and_middle_point_of_neck	nucleus	A1 & B (Nucleus)
DCV136_A1B	Distance_between_nuclear_brightest_point_and_mother_center	nucleus	A1 & B (Nucleus)
DCV142_A1B	Distance_between_nuclear_brightest_point_and_mother_hip_on_stage_A1B	nucleus	A1 & B (Nucleus)
DCV143_A1B	Nucleus border point close to neck in nucleus A1B	nucleus	A1 & B (Nucleus)
DCV145_A1B	Distance_between_nuclear_outline_point_C7_and_mother_hip_on_stage_A1B	nucleus	A1 & B (Nucleus)
DCV147_A1B	Relative_distance_of_nuclear_gravity_center_to_cell_center_on_stage_A	nucleus	A1 & B (Nucleus)
DCV148_A1B	Relative_distance_of_nuclear_brightest_point_to_cell_center_on_stage_A	nucleus	A1 & B (Nucleus)
DCV152_A1B	Mobility of nucleus in mother cell in nucleus A1B	nucleus	A1 & B (Nucleus)
DCV154_A1B	Angle_between_C1D1-1_and_C1C1-2_on_stage_A	nucleus	A1 & B (Nucleus)
DCV155_A1B	Angle_between_C1D2-1_and_C1C1-2_on_stage_A	nucleus	A1 & B (Nucleus)
DCV161_A1B	DCV161_A1B	nucleus	A1 & B (Nucleus)
DCV165_A1B	slope of nuleus to neck position	nucleus	A1 & B (Nucleus)
DCV169_A1B	Angle_between_M1D1-1_and_M1C1_on_stage_A1B	nucleus	A1 & B (Nucleus)
DCV170_A1B	Angle_between_M1D2-1_and_M1C1_on_stage_A1B	nucleus	A1 & B (Nucleus)
DCV172_A1B	Angle_between_M1D4_and_M1C1_on_stage_A1B	nucleus	A1 & B (Nucleus)
DCV175_A1B	nucleus maximum radius	nucleus	A1 & B (Nucleus)
DCV178_A1B	nucleus diameter	nucleus	A1 & B (Nucleus)
DCV181_A1B	nucleus minimum radius	nucleus	A1 & B (Nucleus)
DCV184_A1B	nucleus roundness	nucleus	A1 & B (Nucleus)
DCV190_A1B	Distance_between_nuclear_gravity_center_and_brightest_point_in_bud	nucleus	A1 & B (Nucleus)
DCV193_A1B	Average_of_nuclear_brightness	nucleus	A1 & B (Nucleus)
DCV196_A1B	Maximal_intensity_of_nuclear_brightness_divided_by_average	nucleus	A1 & B (Nucleus)
CCV11-1_C	Mother cell size on nucleus C	cell wall	C (Nucleus)
CCV11-2_C	Area of daughter cell on nucleus C	cell wall	C (Nucleus)
CCV12-1_C	Contour length of mother cell on nucleus C	cell wall	C (Nucleus)
CCV12-2_C	Contour length of daughter cell on nucleus C	cell wall	C (Nucleus)
CCV13_C	Fitness in nucleus C	cell wall	C (Nucleus)
CCV101_C	Cell size on nucleus C	cell wall	C (Nucleus)
CCV102_C	Contour length of cell on nucleus C	cell wall	C (Nucleus)
CCV103_C	Long axis length of mother cell on nucleus C	cell wall	C (Nucleus)
CCV104_C	Short axis length of mother cell on nucleus C	cell wall	C (Nucleus)
CCV105_C	Neck position on nucleus C	cell wall	C (Nucleus)
CCV106_C	Bud growth direction on nucleus C	cell wall	C (Nucleus)
CCV107_C	Long axis length in bud on nucleus C	cell wall	C (Nucleus)
CCV108_C	Short axis length in bud on nucleus C	cell wall	C (Nucleus)
CCV109_C	Neck width on stage C	cell wall	C (Nucleus)
CCV110_C	Length from bud tip to mother cell's long axis on nucleus C	cell wall	C (Nucleus)
CCV111_C	Length from bud tip to mother cell's short axis on nucleus C	cell wall	C (Nucleus)
CCV112_C	Distance from neck to mother cell's center on nucleus C	cell wall	C (Nucleus)
CCV113_C	Distance from bud tip to mother cell's long axis along bud direction on nucleus C	cell wall	C (Nucleus)
CCV114_C	Roundness of bud on nucleus C	cell wall	C (Nucleus)
CCV115_C	Roundness of mother cell on nucleus C	cell wall	C (Nucleus)
CCV116_C	Ratio of roundness of mother cell to that of bud in nucleus C	cell wall	C (Nucleus)
CCV117_C	Ratio of the countour length on nucleus C	cell wall	C (Nucleus)
CCV118_C	Ratio of the cell sizes on nucleus C	cell wall	C (Nucleus)
CCV126_C	Unevenness of brightness on nucleus C	cell wall	C (Nucleus)
CCV127_C	Unevenness of cell wall thickness on nucleus C	cell wall	C (Nucleus)
CCV128_C	Length from bud neck to the farthest point on mother cell on nucleus C	cell wall	C (Nucleus)
ACV7-1_C	Actin region size in mother cell on nucleus C	actin	C (Nucleus)
ACV7-2_C	Actin region size in bud on nucleus C	actin	C (Nucleus)
ACV8-1_C	Actin region brightness in mother cell on nucleus C	actin	C (Nucleus)
ACV8-2_C	Actin region brightness in bud Actin region brightness in bud on nucleus C	actin	C (Nucleus)
ACV9_C	Ratio of actin region to bud neck on nucleus C	actin	C (Nucleus)
ACV101_C	Actin region ratio on nucleus A1B	actin	C (Nucleus)
ACV102_C	Actin region ratio in bud on nucleus C	actin	C (Nucleus)
ACV103_C	Relative Distance of actin patch center from neck in mother cell on nucleus C	actin	C (Nucleus)
ACV104_C	Relative Distance of actin patch center from neck in bud on nucleus C	actin	C (Nucleus)
ACV120_C	Total length of actin patch link on nucleus C	actin	C (Nucleus)
ACV121_C	Maximam actin patch length on nucleus C	actin	C (Nucleus)
ACV122_C	Number of actin patches on nucleus C	actin	C (Nucleus)
ACV123_C	Ratio of actin patch region to actin region on nucleus C	actin	C (Nucleus)
DCV14-1_C	Area of nucleus region in mother cell in nucleus A	nucleus	C (Nucleus)
DCV14-2_C	Area of nucleus region in nucleus A1B	nucleus	C (Nucleus)
DCV14-3_C	Area of nucleus region in nucleus A1B	nucleus	C (Nucleus)
DCV15-1_C	Sum of brightness in nucleus region in mother cell in nucleus C	nucleus	C (Nucleus)
DCV15-2_C	Sum of brightness in nucleus region in bud in nucleus C	nucleus	C (Nucleus)
DCV15-3_C	Sum of brightness in nucleus region in nucleus C	nucleus	C (Nucleus)
DCV16-1_C	Maximum brightness of a nucleus in the mother cell	nucleus	C (Nucleus)
DCV16-2_C	Maximum brightness of a nucleus in the daughter cell	nucleus	C (Nucleus)
DCV16-3_C	Maximum brightness of nuclei	nucleus	C (Nucleus)
DCV17-1_C	Fitness to ellipse of the nucleus in the mother cell	nucleus	C (Nucleus)
DCV17-2_C	Fitness to ellipse of the nucleus in the daughter cell	nucleus	C (Nucleus)
DCV103_C	Distance from nuclear center to mother tip in nucleus C	nucleus	C (Nucleus)
DCV106_C	Ratio of D103 to C103 in nucleus C	nucleus	C (Nucleus)
DCV108_C	Distance from neck to mother cell's nucleus in nucleus C	nucleus	C (Nucleus)
DCV109_C	Distance from neck to bud's nucleus in nucleus C	nucleus	C (Nucleus)
DCV112_C	Ratio_of_D108_to_C128_on_stage_C	nucleus	C (Nucleus)
DCV113_C	Ratio_of_D109_to_C107	nucleus	C (Nucleus)
DCV116_C	Distance between two nucleus in nucleus C	nucleus	C (Nucleus)
DCV117_C	Distance from mother cell's center to mother cell's nucleus in nucleus C	nucleus	C (Nucleus)
DCV119_C	Distance from bud center to bud's nucleus in nucleus C	nucleus	C (Nucleus)
DCV121_C	Distance from bud nucleus to bud tip in nucleus C	nucleus	C (Nucleus)
DCV123_C	Ratio_of_D121_to_C107	nucleus	C (Nucleus)
DCV125_C	Distance_between_nuclear_gravity_center_in_mother_and_mother_hip	nucleus	C (Nucleus)
DCV128_C	Distance_between_nuclear_brightest_point_in_mother_and_mother_tip	nucleus	C (Nucleus)
DCV130_C	Distance_between_nuclear_brightest_point_in_mother_and_middle_point_of_neck	nucleus	C (Nucleus)
DCV131_C	Distance_between_nuclear_brightest_point_in_bud_and_middle_point_of_neck	nucleus	C (Nucleus)
DCV134_C	Distance_between_two_nuclear_brightest_points	nucleus	C (Nucleus)
DCV135_C	Distance_between_nuclear_brightest_point_and_cell_center	nucleus	C (Nucleus)
DCV137_C	Distance_between_nuclear_brightest_point_in_bud_and_bud_tip_on_stage_C	nucleus	C (Nucleus)
DCV139_C	Distance_between_nuclear_brightest_point_in_bud_and_bud_tip_on_stage_C	nucleus	C (Nucleus)
DCV141_C	Distance_between_nuclear_brightest_point_in_mother_and_mother_hip_on_stage_C	nucleus	C (Nucleus)
DCV143_C	Nucleus border point close to neck in nucleus A1B	nucleus	C (Nucleus)
DCV144_C	Nucleus border point close to neck on bud's nucleus	nucleus	C (Nucleus)
DCV145_C	Distance_between_nuclear_outline_point_C7_and_mother_hip_on_stage_A1B	nucleus	C (Nucleus)
DCV146_C	Distance_between_nuclear_outline_point_C8_in_bud_and_bud_tip_on_stage_C	nucleus	C (Nucleus)
DCV147_C	Relative_distance_of_nuclear_gravity_center_to_cell_center_on_stage_A	nucleus	C (Nucleus)
DCV148_C	Relative_distance_of_nuclear_brightest_point_to_cell_center_on_stage_A	nucleus	C (Nucleus)
DCV149_C	Relative_distance_of_nuclear_gravity_center_in_bud_to_bud_center_on_stage_C	nucleus	C (Nucleus)
DCV150_C	Relative_distance_of_nuclear_brightest_point_in_bud_to_bud_center_on_stage_C	nucleus	C (Nucleus)
DCV151_C	Distance ratio of two nuclei from neck in nucleus C	nucleus	C (Nucleus)
DCV152_C	Mobility of nucleus in mother cell in nucleus in nucleus C	nucleus	C (Nucleus)
DCV153_C	Mobility of nucleus in bud in nucleus C	nucleus	C (Nucleus)
DCV154_C	Angle_between_C1D1-1_and_C1C1-2_on_stage_A	nucleus	C (Nucleus)
DCV155_C	Angle_between_C1D2-1_and_C1C1-2_on_stage_A	nucleus	C (Nucleus)
DCV156_C	Angle_between_C2D1-2_and_C2C4-2_on_stage_C	nucleus	C (Nucleus)
DCV157_C	Angle_between_C2D2-2_and_C2C4-2_on_stage_C	nucleus	C (Nucleus)
DCV158_C	Angle_between_D18-1D1-1_and_D18-1C1-2_on_stage_C	nucleus	C (Nucleus)
DCV159_C	Angle_between_D19-1D2-1_and_d19-1C1-2_on_stage_C	nucleus	C (Nucleus)
DCV162_C	slope between two nuclei to neck position	nucleus	C (Nucleus)
DCV163_C	Angle_between_D23D2-1_and_D23C1_on_stage_C	nucleus	C (Nucleus)
DCV166_C	Angle_between_D18-2D1-2_and_D18-2C4-2_on_stage_C	nucleus	C (Nucleus)
DCV167_C	Angle_between_D19-2D2-2_and_D19-2C4-2_on_stage_C	nucleus	C (Nucleus)
DCV169_C	Angle_between_M1D1-1_and_M1C1_on_stage_A1B	nucleus	C (Nucleus)
DCV170_C	Angle_between_M1D2-1_and_M1C1_on_stage_A1B	nucleus	C (Nucleus)
DCV173_C	nucleus maximum radius in mother cell	nucleus	C (Nucleus)
DCV174_C	nucleusmaximum radius in bud	nucleus	C (Nucleus)
DCV176_C	nucleus diameter in mother cell	nucleus	C (Nucleus)
DCV177_C	nucleus diameter in bud	nucleus	C (Nucleus)
DCV179_C	nucleus minimum radius in mother cell	nucleus	C (Nucleus)
DCV180_C	nucleus minimum radius in bud	nucleus	C (Nucleus)
DCV182_C	nucleus roundness in mother cell	nucleus	C (Nucleus)
DCV183_C	nucleus roundness in bud	nucleus	C (Nucleus)
DCV185_C	distance between nuclei through neck	nucleus	C (Nucleus)
DCV186_C	Relative_distance_of_two_nuclear_brightest_points_to_middle_point_of_neck_on_stage_C	nucleus	C (Nucleus)
DCV188_C	Distance_between_nuclear_gravity_center_and_brightest_point_on_stage_A	nucleus	C (Nucleus)
DCV189_C	Distance_between_nuclear_gravity_center_and_brightest_point_on_stage_A	nucleus	C (Nucleus)
DCV191_C	Average_of_nuclear_brightness	nucleus	C (Nucleus)
DCV192_C	Average_of_nuclear_brightness_in_bud	nucleus	C (Nucleus)
DCV193_C	Average_of_nuclear_brightness	nucleus	C (Nucleus)
DCV194_C	Maximal_intensity_of_nuclear_brightness_divided_by_average	nucleus	C (Nucleus)
DCV195_C	Maximal_intensity_of_nuclear_brightness_divided_by_average_in_mother	nucleus	C (Nucleus)
DCV196_C	Maximal_intensity_of_nuclear_brightness_divided_by_average	nucleus	C (Nucleus)
DCV197_C	nuclei size ratio	nucleus	C (Nucleus)
DCV198_C	Ratio_of_nuclear_brightness	nucleus	C (Nucleus)
